"","IL6","PPFIA4","CACNA1I","CDKN2A","PLAAT1","PLXNB3","C14orf39","LINC01549","ONECUT3","PRSS3","IMPDH1P8","KIAA0895LP1","RCOR2","FAM72C","RAD51AP2","SMC1B","FTCD","PPP1R27","GINS2","WNK2","COL4A3","ESCO2","SH2D5","AQP1","MYOSLID","PDE10A","DUXAP9","NLRP10","VCAN","NUS1P2","status"
"TCGA.18.3409.01A",7.8703647195834,9.09803208296053,6.8073549220576,10.4817994316658,7.12928301694497,9.04984854945056,2.58496250072116,4.4594316186373,2,5,5,5.39231742277876,8.56224242422107,3.58496250072116,5.90689059560852,5.32192809488736,3.8073549220576,3.58496250072116,10.3398500028846,10.8993569229231,7.71424551766612,8.91886323727459,7.94251450533924,13.7010898248172,8.4262647547021,8.34872815423108,7.14974711950468,2,16.3812725557118,6.04439411935845,"0"
"TCGA.66.2770.01A",13.9082049531259,10.7108064336994,8.77478705960117,7.18982455888002,10.1189410727235,12.1427452767515,4,1,4.4594316186373,7.8073549220576,7.28540221886225,8.88264304936184,8.73470962022584,6.52356195605701,6.7279204545632,5.24792751344359,9.25738784269265,6,11.5603328342124,13.9563761572497,9.91288933622996,11.5068034377956,10.5216004397237,14.4051414631363,7.49185309632967,8.467605550083,7.18982455888002,3.32192809488736,15.5547686977281,5.52356195605701,"0"
"TCGA.98.8023.01A",8.39231742277876,10.5887146355823,3.8073549220576,6.20945336562895,8.49185309632967,10.4470832262097,8.56224242422107,2,1,3.58496250072116,5.16992500144231,2,8.65105169117893,6.28540221886225,4.90689059560852,2.58496250072116,5.75488750216347,4.70043971814109,11.1098306542788,13.5075469034348,9.6724253419715,10.0112272554233,4.90689059560852,11.7202442582876,7.74146698640115,7.65821148275179,6.35755200461808,3,14.4441089961471,5.24792751344359,"0"
"TCGA.85.8355.01A",9.58496250072116,6.95419631038687,9.63299519714296,11.5868397879618,9.87958324961278,10.2992080183873,4.16992500144231,3,5.75488750216347,9.67595703294175,3.58496250072116,3,8.79441586635011,5.24792751344359,5.32192809488736,6.85798099512757,5.52356195605701,5.24792751344359,9.69696752623429,12.7776662808808,9.60733031374961,9.43045255166553,6.90689059560852,13.6512759733466,6,8.25738784269265,7.33985000288462,3.32192809488736,13.3556263936379,5.32192809488736,"0"
"TCGA.63.A5MV.01A",9.37503943134693,10.4429434958487,10.8344710499842,5.85798099512757,9.43045255166553,10.5449644327892,6.32192809488736,2.58496250072116,2.58496250072116,10.2288186904959,6.35755200461808,5.64385618977472,10.9262959947811,4.70043971814109,7.04439411935845,7.4757334309664,8,5.16992500144231,10.1446582428319,11.2131042196419,8.29462074889163,7.59991284218713,6.95419631038687,12.118292233027,6.20945336562895,10.0168082876866,6.55458885167764,1,15.2416108124685,7.6724253419715,"0"
"TCGA.34.A5IX.01A",9.34429590791582,8.59991284218713,4.58496250072116,12.5372184005386,8.5077946401987,11.8169836232554,3,4.32192809488736,1,4.70043971814109,4,4.16992500144231,6.35755200461808,6.7279204545632,4.90689059560852,9.10328780841202,5.08746284125034,2,11.5176693881338,7.8073549220576,7.94251450533924,10.2264121927888,8.76155123244448,12.2772874001304,8.4178525148859,8.09803208296053,5.32192809488736,4.32192809488736,12.5166849493096,1,"0"
"TCGA.85.A4JB.01A",10.7039035734447,10.9901039638575,10.4199601778479,11.0251395622785,9.02790599656988,12.0660891904578,5.70043971814109,1,5.4594316186373,8.19967234483637,4,4.16992500144231,11.0512089409148,5.39231742277876,6.39231742277876,7.74146698640115,7.68650052718322,2.58496250072116,10.1111356702347,10.8201789624152,6.8073549220576,9.63299519714296,10.753216749179,11.4398308839814,7.58496250072116,7.4594316186373,7.4093909361377,4.8073549220576,14.6234242898699,6.28540221886225,"0"
"TCGA.77.8144.01A",9.13442632022093,7.56985560833095,5.24792751344359,12.7858611057596,9.2336196767597,10.8025163651212,2,2,4.70043971814109,2,3.58496250072116,4,6.70043971814109,7.35755200461808,5.16992500144231,4.70043971814109,3,2,12.5887146355823,10.3060616894283,3.8073549220576,10.2070143201775,11.7347096202258,11.270295326472,9.57742882803575,6.28540221886225,7.71424551766612,2,12.9370059265166,2,"0"
"TCGA.39.5024.01A",8.56224242422107,9.34429590791582,7.94251450533924,6.55458885167764,11.0821490413539,11.7030383889864,4,4,3.8073549220576,10.4614794472862,3.32192809488736,5.32192809488736,9.31741261376487,7.5077946401987,7.4757334309664,6.4594316186373,4.90689059560852,4.16992500144231,11.4938554492408,11.5641494899857,9.37937836707126,10.0687782779854,7.16992500144231,13.9474543067672,7.22881869049588,13.6300395526561,4.4594316186373,3,12.7334390828994,4.70043971814109,"0"
"TCGA.60.2716.01A",4,7.70043971814109,6.08746284125034,11.7355560239115,9.2807707701306,12.6519486107234,5,1,2.58496250072116,10.2455527062557,6.39231742277876,5.58496250072116,10.6724253419715,5.4594316186373,6,6.08746284125034,4.90689059560852,5.64385618977472,11.0728025345442,11.7723145739217,8.02236781302845,10.0821490413539,6.70043971814109,12.5788443915582,6.7279204545632,11.9922302649659,5.75488750216347,1,12.9964734887332,6.4262647547021,"0"
